시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청북도,진천군,옥동초등학교,충청북도 진천군 덕산면예지로 43  ,2791.0000,127.508878,36.888516,최기헌
충청북도,진천군,초평초등학교,충청북도 진천군 초평면초동로 143  ,825.0000,127.538387,36.847521,홍정임
충청북도,충주시,목행초등학교,충청북도 충주시 목행초길 16  (목행동),463.0000,127.918494,37.007488,
충청북도,제천시,봉양중학교(본관),충청북도 제천시 봉양읍앞산로 39  ,2662.0000,128.124486,37.128934,학교장
충청북도,제천시,금성초등학교(강당),충청북도 제천시 금성면국사봉로 1615  ,841.0000,128.165548,37.067270,학교장
충청북도,제천시,청풍초중학교(강당),충청북도 제천시 청풍면청풍호로 2194  ,1928.0000,128.164949,36.996031,
충청북도,제천시,"수산초중학교(본관,급식소,강당)",충청북도 제천시 수산면지곡로 12  ,3708.0000,128.187380,36.935739,학교장
충청북도,제천시,"덕산초중학교(본관,후관,강당)",충청북도 제천시 덕산면약초로 133  ,3621.0000,128.169686,36.907927,김영애
충청북도,청주시,원봉중학교,충청북도 청주시 상당구 중흥로 99  (용암동),8745.0000,127.505712,36.613955,
충청북도,청주시,운동초등학교,충청북도 청주시 상당구 목련로117번길 109  (운동동),1650.0000,127.513089,36.606442,
충청북도,청주시,분평초등학교,충청북도 청주시 서원구 무심서로 205  (분평동),1149.0000,,,학교장
